# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Jonstonus, Joannes, 1603-1675	Continental Reformed		m	Scots-Polish
Sennert, Daniel, 1572-1637	Lutheran		m	Lay physician at Wittenberg
Gifftheil, Ludwig Friedrich, d. 1661	Lutheran		m	German enthusiast

# ── Rome ──────────────────────────────────────────────────────────
Carre, Thomas, 1599-1674	Roman Catholic		h	Miles Pinkney, of the Paris seminary
Turberville, Henry, d. 1678	Roman Catholic		h
Vane, Thomas, fl. 1652	Roman Catholic		h	Converted from the Church of England
Franciscus a Sancta Clara, 1598-1680	Roman Catholic		h	Franciscan; Christopher Davenport
Smith, Nicholas, d. 1680	Roman Catholic		h
White, Thomas, 1593-1676	Roman Catholic		h	Thomas Blacklo
Teresa, of Avila, Saint, 1515-1582	Roman Catholic		h
Pascal, Blaise, 1623-1662	Roman Catholic		h	Jansenist
Quarré, Jean-Hugues, 1580-1656	Roman Catholic		h
Merke, Thomas, d. 1409	Roman Catholic		h	Bishop of Carlisle
La Serre, M. de (Jean-Puget), ca. 1600-1665	Roman Catholic		m	Lay
Blount, Thomas, 1618-1679	Roman Catholic		m	Lay lexicographer
Della Valle, Pietro, 1586-1652	Roman Catholic		m	Lay

# ── Party without a body ──────────────────────────────────────────
Vane, Henry, Sir, 1612?-1662		Puritan	h	Lay; beheaded 1662, and of no settled church
Pordage, John, 1607-1681		Puritan	l	Behmenist
Pinnel, Henry		Puritan	l	Army chaplain; Behmenist
Crab, Roger, 1621?-1680		Puritan	l	Hermit
Culpeper, Nicholas, 1616-1654		Puritan	l	Lay physician
Freeman, Francis		Puritan	l
Freize, James		Puritan	l
Allen, William, Adjutant-general of the army in Ireland		Puritan	l	Lay

# ══ Ninth pass ════════════════════════════════════════════════════

# ── Anglican, conforming ──────────────────────────────────────────
Brevint, Daniel, 1616-1695	Anglican	Conformist	h	Dean of Lincoln
Lowth, Simon, 1630?-1720	Anglican	Conformist	h	Nonjuror
Stradling, George, 1621-1688	Anglican	Conformist	h
Traherne, Thomas, d. 1674	Anglican	Conformist	h
Pococke, Edward, 1604-1691	Anglican	Conformist	h	Laudian Professor of Arabic
Tenison, Richard, 1640?-1705	Anglican	Conformist	h	Bishop of Meath
Burkitt, William, 1650-1703	Anglican	Conformist	h
Maurice, Henry, 1648-1691	Anglican	Conformist	h
Hooper, George, 1640-1727	Anglican	Conformist	h	Bishop of Bath and Wells
Gower, Humphrey, 1638-1711	Anglican	Conformist	h
Wagstaffe, Thomas, 1645-1712	Anglican	Conformist	h	Nonjuror bishop
Atterbury, Francis, 1662-1732	Anglican	Conformist	h
Jenkin, Robert, 1656-1727	Anglican	Conformist	h	Nonjuror
Dopping, Anthony, 1643-1697	Anglican	Conformist	h	Bishop of Meath
Monro, Alexander, d. 1715?	Anglican	Conformist	h	Scottish Episcopalian; nonjuror
Strype, John, 1643-1737	Anglican	Conformist	h	The historian of the English Reformation
Trimnell, Charles, 1663-1723	Anglican	Conformist	h	Bishop of Norwich
Fuller, Ignatius, 1624 or 5-1711	Anglican	Conformist	m
Rawlet, John, 1642-1686	Anglican	Conformist	m
Wolseley, Charles, Sir, 1630?-1714	Anglican	Conformist	m	Lay
Gataker, Charles, 1614 or 15-1680	Anglican	Conformist	m	Son of the Westminster divine
Sal, Andrew, 1612-1682	Anglican	Conformist	m	A Jesuit who conformed in Ireland
Scrivener, Matthew	Anglican	Conformist	m
Stopford, Joshua, 1636-1675	Anglican	Conformist	m
Locke, John, 1632-1704	Anglican	Conformist	m	Lay
Armstrong, John, 1634 or 5-1698	Anglican	Conformist	m
March, John, 1640-1692	Anglican	Conformist	m
Tanner, Thomas, 1630-1682	Anglican	Conformist	m
Jones, Thomas, 1622?-1682	Anglican	Conformist	m
Adams, William, 1650-1685	Anglican	Conformist	m
Brome, James, d. 1719	Anglican	Conformist	m
Neville, Robert, 1640 or 1-1694	Anglican	Conformist	m
Tonge, Ezerel, 1621-1680	Anglican	Conformist	m	Of the Popish Plot
Cawdrey, Zachary, 1616-1684	Anglican	Conformist	m
Barne, Miles, d. 1709?	Anglican	Conformist	m
Hopkins, William, 1647-1700	Anglican	Conformist	m
Jenner, David, d. 1691	Anglican	Conformist	m
Roderick, Richard, 1647 or 8-1730	Anglican	Conformist	m
Standish, John, d. 1686	Anglican	Conformist	m	Not the Marian
Taylor, Zachary, 1653-1705	Anglican	Conformist	m
Hall, Timothy, 1637?-1690	Anglican	Conformist	m	Bishop of Oxford
Resbury, Nathanael, 1643-1711	Anglican	Conformist	m
Bohun, Edmund, 1645-1699	Anglican	Conformist	m	Lay
Cooke, Shadrach, 1655?-1724?	Anglican	Conformist	m	Nonjuror
Ellesby, James, b. 1644 or 5	Anglican	Conformist	m
Heyrick, Thomas, d. 1694	Anglican	Conformist	m
Canaries, James	Anglican	Conformist	m	Scottish Episcopalian
Bainbrigg, Thomas, 1636-1703	Anglican	Conformist	m
Hellier, Henry, 1662?-1697	Anglican	Conformist	m
Cressener, Drue, 1638?-1718	Anglican	Conformist	m
Leightonhouse, Walter, 1656-1701	Anglican	Conformist	m
Lambe, John, 1648 or 9-1708	Anglican	Conformist	m
Willes, John, 1646 or 7-1700	Anglican	Conformist	m
Cary, Thomas, 1648 or 9-1711	Anglican	Conformist	m
Walker, Thomas, 1658 or 9-1716	Anglican	Conformist	m
Wood, Anthony à, 1632-1695	Anglican	Conformist	m	Lay antiquary
Burscough, Robert, 1651-1709	Anglican	Conformist	m
Russel, Robert, fl. 1692	Anglican	Conformist	m
Watts, Thomas, 1665-1739	Anglican	Conformist	m
Campion, Abraham, d. 1701	Anglican	Conformist	m
Adams, John, 1662-1720	Anglican	Conformist	m
Arwaker, Edmund	Anglican	Conformist	m
Falle, Philip, 1656-1742	Anglican	Conformist	m
Knaggs, Thomas, 1660 or 1-1724	Anglican	Conformist	m
Turner, William, 1653-1701	Anglican	Conformist	m
De Luzancy, H. C. (Hippolyte du Chastelet), d. 1713	Anglican	Conformist	m	Left the Roman church for the English
Hayley, William, 1657-1715	Anglican	Conformist	m
Smalwood, James, d. 1719	Anglican	Conformist	m
Isham, Z. (Zacheus), 1651-1705	Anglican	Conformist	m
Pratt, Samuel, 1659?-1723	Anglican	Conformist	m
Savage, J. (John), 1645-1721	Anglican	Conformist	m
Whiston, William, 1667-1752	Anglican	Conformist	m	Expelled from Cambridge for Arianism in 1710
Ottee, Robert, d. 1690	Anglican	Conformist	l
Briggs, Jos. (Joseph)	Anglican	Conformist	l
Hayter, Richard, 1611?-1684	Anglican	Conformist	l
Plot, Robert, 1640-1696	Anglican	Conformist	l	Lay
Turner, Bryan, 1634 or 5-1698	Anglican	Conformist	l
Barrow, John, 1650 or 51-1684	Anglican	Conformist	l
Phillips, Nicholas	Anglican	Conformist	l
Topham, George, d. 1694	Anglican	Conformist	l
Lawrence, William, 1613 or 14-1681 or 2	Anglican	Conformist	l	Lay
Robotham, Charles, 1625 or 6-1700	Anglican	Conformist	l
Wales, Samuel	Anglican	Conformist	l
Allen, William, fl. 1681-1697	Anglican	Conformist	l	Neither the cardinal nor the Baptist
Coleraine, Hugh Hare, Baron, 1606?-1667	Anglican	Conformist	l	Lay
Tyrrell, James, 1642-1718	Anglican	Conformist	l	Lay
Wray, William, 1650?-1692	Anglican	Conformist	l
Jones, James, fl. 1683-1684	Anglican	Conformist	l
Wade, John, b. 1643	Anglican	Conformist	l
Werge, Richard, 1624 or 5-1687	Anglican	Conformist	l
Bolton, William, 1650 or 51-1691	Anglican	Conformist	l
Hughes, William, b. 1624 or 5	Anglican	Conformist	l
Warner, James	Anglican	Conformist	l
Buckingham, George Villiers, Duke of, 1628-1687	Anglican	Conformist	l	Lay
Gostwyke, William, 1650-1703	Anglican	Conformist	l
Banks, R. R. (Richard R.)	Anglican	Conformist	l
Oakes, John, d. 1689?	Anglican	Conformist	l
Raymond, George, A.M.	Anglican	Conformist	l
Smith, Humphry, b. 1654 or 5	Anglican	Conformist	l
Wilson, Timothy, 1642-1705	Anglican	Conformist	l
Gallaway, William, fl. 1692-1697	Anglican	Conformist	l
Perkins, Joseph, b. 1658	Anglican	Conformist	l
Powell, Joseph, d. 1698	Anglican	Conformist	l
Edwards, Thomas, fl. 1693-1699	Anglican	Conformist	l
White, Richard, b. 1636	Anglican	Conformist	l
Bramston, William, d. 1735	Anglican	Conformist	l
Moor, Thomas, fl. 1695-1697	Anglican	Conformist	l
Day, George, d. 1697	Anglican	Conformist	l
Holland, Richard, 1679-1706	Anglican	Conformist	l
Crokey, Benjamin	Anglican	Conformist	l
Ravenhill, W. L. D.	Anglican	Conformist	l
Sauvage, John	Anglican	Conformist	l
Smith, Lawrence, 1656-1728	Anglican	Conformist	l
Lanquet, Thomas, 1521-1545	Anglican		l
Wase, Christopher, 1625?-1690	Anglican	Conformist	l	Lay
Pitt, Francis, 1578 or 9-1644	Anglican	Conformist	l
Anti-Papist	Anglican	Conformist	l
Oates, Titus, 1649-1705	Anglican	Conformist	l	Lay; of the Popish Plot

# ── Anglican, Puritan ─────────────────────────────────────────────
Smart, Ithiel, 1598 or 9-1661	Anglican	Puritan	m
Stonham, Benjamin	Anglican	Puritan	l
Howson, Robert	Anglican	Puritan	l
Owen, Jonathan	Anglican	Puritan	l
Dowriche, Hugh, b. 1552 or 3	Anglican	Puritan	l
Brooke, John, d. 1582	Anglican	Puritan	l
Willis, Ralph, fl. 1653	Anglican	Puritan	l
Hunt, Richard	Anglican	Puritan	l
Spencer, John, Gentleman	Anglican	Puritan	l	Lay
Calfine, Giles	Anglican	Puritan	l

# ── Presbyterian ──────────────────────────────────────────────────
McWard, Robert, 1633?-1687	Presbyterian	Puritan	h	Covenanter, in exile at Rotterdam
Lawrence, Edward, 1623-1695	Presbyterian	Puritan	h
Quick, John, 1636-1706	Presbyterian	Puritan	h
Welch, John, ca. 1624-1681	Presbyterian	Puritan	h	Covenanter; not his great-grandfather
Forrester, Thomas, 1635?-1706	Presbyterian	Puritan	h	Church of Scotland
Renwick, James, 1662-1688	Presbyterian	Puritan	h	The last Covenanter martyr
Defoe, Daniel, 1661?-1731	Presbyterian	Puritan	h	Lay
Craghead, Robert	Presbyterian	Puritan	h	Irish Presbyterian
Lorimer, William, d. 1721	Presbyterian	Puritan	h
Scandrett, Stephen, 1631?-1706	Presbyterian	Puritan	m
Hickes, John, 1633-1685	Presbyterian	Puritan	m	Hanged after Monmouth's rising
Pearse, Edward, 1633?-1674?	Presbyterian	Puritan	m
Stubbes, Henry, 1606?-1678	Presbyterian	Puritan	m
Alleine, William, 1614-1677	Presbyterian	Puritan	m
Fairfax, John, 1623-1700	Presbyterian	Puritan	m
Palmer, Samuel, d. 1724	Presbyterian	Puritan	m
Harley, Edward, Sir, 1624-1700	Presbyterian	Puritan	m	Lay
Wedderburn, Alexander, d. 1678	Presbyterian	Puritan	m
Dunton, John, 1659-1733	Presbyterian	Puritan	m	Lay bookseller
Fuller, Francis, 1637?-1701	Presbyterian	Puritan	m
Kirkwood, James, 1650?-1709	Presbyterian	Puritan	m	Church of Scotland
Spademan, John, d. 1708	Presbyterian	Puritan	m
Doolittle, Samuel	Presbyterian	Puritan	m	Son of Thomas Doolittle
Tilsley, John, 1614-1684	Presbyterian	Puritan	m
Vilant, William	Presbyterian	Puritan	l
Houschone, William	Presbyterian	Puritan	l
Shute, Giles, b. 1650 or 51	Presbyterian	Puritan	l
Park, Robert, d. 1689?	Presbyterian	Puritan	l
Harrison, Thomas, fl. 1700	Presbyterian	Puritan	l
Craig, Mungo	Presbyterian	Puritan	l
Kello, John, d. 1570	Presbyterian	Puritan	l	Church of Scotland

# ── Congregational and Independent ────────────────────────────────
Mather, Samuel, 1626-1671	Congregational	Puritan	h
Mather, Nathanael, 1631-1697	Congregational	Puritan	h
Hubbard, William, 1621 or 2-1704	Congregational	Puritan	h	New England
Allen, James, 1632-1710	Congregational	Puritan	h	New England
Stoddard, Solomon, 1643-1729	Congregational	Puritan	h	New England
Clarkson, David, 1622-1686	Congregational	Puritan	h	Owen's colleague
Bragge, Robert, 1627-1704	Congregational	Puritan	h
Lobb, Stephen, d. 1699	Congregational	Puritan	h
Coles, Elisha, 1640?-1680	Congregational	Puritan	m	Lay; God's Sovereignty
Faldo, John, 1633-1690	Congregational	Puritan	m	Wrote against the Quakers
Allen, Thomas, 1608-1673	Congregational	Puritan	m
Ashwood, Bartholomew, 1622-1680	Congregational	Puritan	m
Pomfret, Samuel, d. 1722	Congregational	Puritan	m
Gibbs, John, 1627?-1699	Congregational	Puritan	m
Goodwin, Thomas, 1650?-1716?	Congregational	Puritan	m	Son of the Dissenting Brother

# ── Baptist ───────────────────────────────────────────────────────
Coxe, Nehemiah	Baptist	Puritan	h	Particular Baptist; edited the 1689 Confession
Bampfield, Thomas, 1623?-1693	Baptist	Puritan	h	Seventh Day; brother of Francis
Stennett, Joseph, 1663-1713	Baptist	Puritan	h	Seventh Day
Veil, Charles-Marie de, 1630-1685	Baptist		m	Born a Jew, then Catholic, then Anglican, then Baptist

# ── Quaker ────────────────────────────────────────────────────────
Parke, James, 1636-1696	Quaker		h
Vaughton, John, 1644-1712	Quaker		h
Whitehead, Anne, 1624-1686	Quaker		h
Penington, John, 1655-1710	Quaker		h	Son of Isaac
Claridge, Richard, 1649-1723	Quaker		h	Conformist, then Baptist, then convinced
Gordon, Robert, fl. 1669-1675	Quaker		m
Leeds, Daniel, 1652-1720	Quaker		m	Convinced, then disowned and writing against them
Helmont, Franciscus Mercurius van, 1614-1699	Quaker		l	Kabbalist; close to the Friends without quite being one
Axford, John	Quaker		l

# ── The continent ─────────────────────────────────────────────────
Gombauld, Jean Ogier de, d. 1666	Continental Reformed		m	Huguenot
Lortie, André, d. 1706	Continental Reformed		m	Huguenot
Lombard, André	Continental Reformed		l	Huguenot

# ── Rome ──────────────────────────────────────────────────────────
Maimbourg, Lovis, 1610-1686	Roman Catholic		h	Jesuit
Boutauld, Michel, 1604-1689	Roman Catholic		h	Jesuit
Gobinet, Charles, 1614-1690	Roman Catholic		h
Betham, John, d. 1709	Roman Catholic		h
Du Pin, Lovis Ellies, 1657-1719	Roman Catholic		h	Gallican
Richelieu, Armand Jean du Plessis, duc de, 1585-1642	Roman Catholic		h	Cardinal
Christopherson, John, d. 1558	Roman Catholic		h	Bishop of Chichester under Mary
Jacobus, de Voragine, ca. 1229-1298	Roman Catholic		h	The Golden Legend
Love, Nicholas, fl. 1410	Roman Catholic		h	The Mirror of the Blessed Life of Jesus Christ
Peter, of Blois, ca. 1135-ca. 1212	Roman Catholic		h
Alcock, John, 1430-1500, attributed name. aut	Roman Catholic		h	A catalogue variant of the same man
Confederate Catholics. Supreme Council	Roman Catholic		h
Dionysius Exiguus, d. ca. 540	Roman Catholic		m	Pre-schism Western church
Dufour de Longuerue, Lovis, 1652-1733	Roman Catholic		m
Barclay, John, 1582-1621	Roman Catholic		m	Lay
Zárate, Agustin de, b. 1514	Roman Catholic		m	Lay
John, of Garland, ca. 1195-ca. 1272	Roman Catholic		m
Alexander, ab Alexandro, d. 1523	Roman Catholic		m	Lay
Littleton, Thomas, Sir, d. 1481	Roman Catholic		m	Lay
Malory, Thomas, Sir, 15th cent	Roman Catholic		m	Lay
Lily, William, 1468?-1522	Roman Catholic		m	Lay
Marshall, George, poet	Roman Catholic		l	Marian

# ── Party without a body ──────────────────────────────────────────
Sidney, Algernon, 1622-1683		Puritan	l	Lay; beheaded 1683
Brereton, William, Sir, 1604-1661		Puritan	l	Lay; parliamentarian commander
Lead, Jane, 1623-1704		Puritan	l	Philadelphian; Behmenist
Marsin, M.		Puritan	l
Harris, John, fl. 1647		Puritan	l
Harris, John, Gent		Puritan	l

# ══ Tenth pass ════════════════════════════════════════════════════
# The pre-1570 tail: the medieval presses, the Marian reaction, the
# exiles, and the continental reformers in English translation.

# ── Rome ──────────────────────────────────────────────────────────
Jacobus, de Gruytrode, d. 1472?	Roman Catholic		h	Carthusian
Bernardino, da Siena, Saint, 1380-1444	Roman Catholic		h	Franciscan
Atkinson, William, d. 1509	Roman Catholic		h
Hayton, Frère, ca. 1235-ca. 1314	Roman Catholic		h
Edmund, of Abingdon, Saint, Archbishop of Canterbury	Roman Catholic		h
Gascoigne, Thomas, 1403-1458	Roman Catholic		h
Ullerston, Richard, d. 1423	Roman Catholic		h
Eck, Johann, 1486-1543	Roman Catholic		h	Luther's opponent at Leipzig
Abel, Thomas, d. 1540	Roman Catholic		h	Executed for defending Catherine of Aragon
Nausea, Friedrich, d. 1552	Roman Catholic		h	Bishop of Vienna
Bonde, William, fl. 1526-27	Roman Catholic		h	Syon Abbey
Chedsey, William	Roman Catholic		h	Marian
Proctor, John, 1521?-1584	Roman Catholic		h	Marian
Brooks, James, 1512-1560	Roman Catholic		h	Bishop of Gloucester under Mary
Pollard, Leonard, d. 1556	Roman Catholic		h	Marian
Edgeworth, Roger, d. 1560	Roman Catholic		h
Elizabeth, of Schönau, Saint, 1129-1165	Roman Catholic		h
Kennedy, Quintin, 1520-1564	Roman Catholic		h	Abbot of Crossraguel
Winzet, Ninian, 1518-1592	Roman Catholic		h	Scottish exile
Davidson, John, ca. 1520-1572	Roman Catholic		h	Principal of Glasgow; not the Presbyterian
Cabasilas, Nicolaus, 14th cent	Eastern Orthodox		h
Guise, Charles de, Cardinal de Lorraine, 1525-1574	Roman Catholic		h
Hannapes, Nicolas de, patriarch of Jerusalem, 1225?-1291	Roman Catholic		h
Erasmus, Desiderius, d. 1536. Enchiridion militis Christiani	Roman Catholic		h	A catalogue variant of the same man
Pole, Reginald, 1500-1558	Roman Catholic		h	Cardinal; Archbishop under Mary
Staphylus, Fridericus	Roman Catholic		h	Left the Lutherans for Rome
Frarinus, Petrus	Roman Catholic		h
Heskyns, Thomas	Roman Catholic		h
Martial, John, 1534-1597	Roman Catholic		h
Clynnog, Morys, ca. 1521-1581	Roman Catholic		h	Welsh exile
Baptista, Mantuanus, 1448-1516	Roman Catholic		h	Carmelite
Stanbridge, John, 1463-1510	Roman Catholic		m
Arnold, Richard, d. 1521?	Roman Catholic		m	Lay
Doesborch, Jan van, d. 1536	Roman Catholic		m	Lay printer
Dunbar, William, 1460?-1520?	Roman Catholic		m
Brant, Sebastian, 1458-1521	Roman Catholic		m	Lay
Holt, John, fl. 1495	Roman Catholic		m
Mancinus, Dominicus, fl. 1478-1491	Roman Catholic		m
Linacre, Thomas, 1460-1524	Roman Catholic		m
Joannes, de Mediolano	Roman Catholic		m
Nicolaus, Pergaminus	Roman Catholic		m
Fabyan, Robert, d. 1513	Roman Catholic		m	Lay
Isidore, of Seville, Saint, d. 636	Roman Catholic		m	Pre-schism Western church
Bede, the Venerable, Saint, 673-735	Roman Catholic		m	Pre-schism Western church
Pinder, Ulrich, d. 1510 or 1519	Roman Catholic		m
Valla, Lorenzo, 1406-1457	Roman Catholic		m
Marsilius, of Padua, d. 1342?	Roman Catholic		m
Fitzherbert, John, d. 1531	Roman Catholic		m	Lay
Vigo, Giovanni da, 1450?-1525	Roman Catholic		m	Lay surgeon
Vergil, Polydore, 1470?-1555	Roman Catholic		m
Ulric, Saint, Bishop of Augsburg, 890-973	Roman Catholic		m	Pre-schism Western church
Christine, de Pisan, ca. 1364-ca. 1431	Roman Catholic		m	Lay
Boorde, Andrew, 1490?-1549	Roman Catholic		m	Carthusian turned physician
Langland, William, 1330?-1400?	Roman Catholic		m
Wimbledon, Thomas	Roman Catholic		m
King, Robert, d. 1557	Roman Catholic		m	First Bishop of Oxford
Bush, Paul, 1490-1558	Roman Catholic		m	First Bishop of Bristol; resigned under Elizabeth
Glanville, Ranulf de, 1130-1190	Roman Catholic		m	Lay
Felice, Costanzo	Roman Catholic		m
Perkins, John, d. 1545	Roman Catholic		m	Lay lawyer
Berners, John Bourchier, Lord, 1466 or 7-1533	Roman Catholic		m	Lay
Castiglione, Baldassarre, conte, 1478-1529	Roman Catholic		m	Lay
Lanfranco, of Milan, 13th cent	Roman Catholic		m
